brand,branch_name,address,city,clean_text,review_id,food_quality_detected,food_quality_issues,order_accuracy_detected,order_accuracy_issues,staff_professionalism_detected,staff_professionalism_issues,speed_of_service_detected,speed_of_service_issues,hygiene_cleanliness_detected,hygiene_cleanliness_issues,facility_equipment_detected,facility_equipment_issues,product_availability_detected,product_availability_issues,no_specific_complaint_detected
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"Been their customer for quite long,  extremely unsatisfied on today's menu. Please let me know, if I'm the one wrong or I did get food in bad way. No single sachet of sauce and please see my burger condition yeah. I bought this between 3-4am today (14 February) . I talked to the staff, he said ""biasa la bang, shift mlm mmng sorng ii"". I didn't know that I will get my burger with this condition.  I paid yow, not asking it for free.  And please let me know? Will I get sauce sachet if I buy this menu ? Because I didn't get a single sauce sachet. I wanted to post this review on the very same time, luckily my girlfriend ask me to be patient, after all wake up in the morning looking at the empty box, I recalled back yesterday's situation. So I'm doing the review now.  Extremely unsatisfied.  "" Not your first time customer"".",0,1,burger condition,1,"no single sachet of sauce, didn't get a single sauce sachet",1,"staff said 'biasa la bang, shift mlm mmng sorng ii' (dismissive)",0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"I am writing to express my disappointment regarding my order at McDonald’s. I ordered a Nasi Lemak via drive-thru at 10:40pm on 18/2/2026 and paid RM15.90 for the meal. Unfortunately, when I reached home and checked the order, I realized that the sambal was missing. The meal only contained rice, egg, and anchovies.

As you know, sambal is an essential part of nasi lemak. Without it, the meal is incomplete and not worth the price paid. It is very frustrating to receive an incomplete order, especially after paying the full amount and only discovering the mistake once I got home.

I expect better quality control and attention to detail, particularly for drive-thru orders where customers do not usually check their food immediately. I kindly request an explanation for this oversight and appropriate compensation or replacement for the incomplete item.

I hope this matter can be resolved promptly and professionally.

Thank you.",1,0,,1,"sambal was missing, incomplete order",0,,0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"One of the staff asked me to fill up the survey via McD app. Instead of guide me she just grabbed my phone and fill the survey by herself, taking photo, and put every answer the as she likes. Please educate your staff to not be insolent and ill-mannered.",2,0,,0,,1,"staff grabbed phone and filled survey herself, insolent and ill-mannered staff",0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"I ordered five piece of chicken, but they just give two pieces and they didn’t give me the rest too, and the five pieces. All I That was wings and drumstick, which is tiny tiny size.. and they forget to give me my remaining two pieces of chicken. This is my third time with this branch. These people are ridiculous. These people are so rude when you ask anything to them.",3,1,tiny tiny size chicken (wings and drumstick),1,"ordered five piece of chicken, but only received two pieces, forgot to give remaining two pieces of chicken",1,staff are so rude when asked anything,0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,The food quality is very poor. Ordered prosperity burger but surprisingly there is almost no blackpepper sauce on the patty. Very-very dry even the bread is dry. Why this mcd branch give this kind of food quality? You can see pic of my properity below:,4,1,"food quality is very poor, almost no blackpepper sauce on the patty, very-very dry bread",0,,0,,0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"I recently placed an order at this McDonald's location, but the food I received did not match what I ordered. This is unacceptable, especially when paying for a specific meal. Mistakes happen, but I expect better quality control from a global chain like McDonald's.

To Management: Please review this issue seriously—check your order logs and CCTV if needed. I want to know why this happened and what steps you’ll take to prevent it for future customers. A public response would be appreciated.

Until then, I cannot recommend this location due to the lack of attention to order accuracy.",5,0,,1,"food received did not match what was ordered, lack of attention to order accuracy",0,,0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"I am writing to express my extreme dissatisfaction with the poor service and unprofessional behavior I experienced at your Cyberjaya branch on 1 December 2024. What should have been a simple drive-thru transaction turned into a frustrating and deeply disappointing ordeal due to an unreasonable delay and the unacceptable attitude of your staff.

I ordered a Sausage Cheese Omelette Muffin with Hash Brown. I was informed that the hash browns were unavailable and would be replaced with fries, which I agreed to. However, when it was my turn to collect the food, I was told the order was not ready and asked to wait further ahead.

I waited 25 minutes while other cars received their orders and left. Frustrated by the prolonged delay, I approached the staff to inquire about my order. The worker I spoke to displayed rude and dismissive body language, making no effort to address my concerns or offer an explanation for the delay. She simply took my bill without a word, prepared the food, and handed it to me without so much as an apology for the inconvenience caused.

When I returned to my car and checked the food, I discovered that the Sausage Cheese Omelette Muffin was missing the sausage—a critical part of the meal I paid for. This added insult to injury, as I had already endured poor service and disrespectful behavior.

I find this level of service completely unacceptable for a brand like McDonald’s, which prides itself on customer satisfaction. The staff’s rude behavior, lack of communication, extended wait time, and the incorrect order have left me questioning the professionalism and standards of this branch.

This experience highlighted the unacceptable and unprofessional customer service standards at your Cyberjaya branch.",6,0,,1,"Sausage Cheese Omelette Muffin was missing the sausage, incorrect order",1,"unacceptable attitude of staff, worker displayed rude and dismissive body language, no apology for inconvenience, staff’s rude behavior, lack of communication, unprofessional customer service standards",1,"unreasonable delay, waited 25 minutes, extended wait time",0,,0,,1,hash browns were unavailable,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"Why one star ? cause mcdonald french fries is the best since i was young until now , it was teribble like over night fried , management pls look into it",7,1,french fries were terrible like over night fried,0,,0,,0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,"So last night I bought 4 large fries for takeout didn't checked the bag because it wa just fries.
When I got home I got all 4 fries were filled little bit over half way. Paid 28 ringgit.
Is this how McDonald's are serving thier fries.
I have posted the pics as well .
DEFINITELY DONT RECOMMEND MCDONALD'S
MAY BE TIME TO CHANGE IT TO DIFFERENT FAST FOOD.",8,1,all 4 fries were filled little bit over half way (portion size),0,,0,,0,,0,,0,,0,,0
McD,Cyberjaya DT,"Prima 5B, Prima Avenue 1, Jalan Teknorat 5, Cyber 5 , Cyberjaya,, Selangor, 63000 Selangor, Malaysia",Cyberjaya,i get the most bad experiences from this outlet. i choose 3 pieces chicken and 1 curly fries (set) but they tell us that chicken already finish  and decide to change the menu in this set. but what i get just this (in the pic) !!!!!! just 1 burger and pie. worst experience ever. I want to get my refund ( RM22.40 ),9,0,,1,received just 1 burger and pie after menu change (implies incorrect substitution or missing items),0,,0,,0,,0,,1,chicken already finish,0
